ingredients,recipe_urls,recipe_name,desc,ingredients_parsed
"[""Women's"", 'Georgette', 'Solid', 'Frill', 'Ruffle', 'Saree', 'With', 'Blouse', 'Piece,saree', 'bermondsey']",33.jpeg,saree bermondsey,Women's Georgette Solid Frill Ruffle Saree With Blouse Piece,georgette solid frill ruffle saree blouse bermondsey
"['Georgette', 'Saree', 'with', 'Blouse', 'Piece', '-', 'Pack', 'of', '2,saree', 'anand', 'sarees']",34.jpeg,saree anand sarees,Georgette Saree with Blouse Piece - Pack of 2,georgette saree blouse pack anand saree
"[""Women's"", 'Jacquard', 'Net', 'Saree', 'With', 'Unstiched', 'Blouse', 'Piece,saree', 'sretan']",35.jpeg,saree sretan,Women's Jacquard Net Saree With Unstiched Blouse Piece,jacquard net saree unstiched blouse sretan
"[""Women's"", 'Cotton', 'Saree', 'With', 'Blouse', 'Piece,saree', 'usk']",36.jpeg,saree usk,Women's Cotton Saree With Blouse Piece,cotton saree blouse usk
"['with', 'blouse', 'piece', 'Saree', '(Nityanta', 'FWomen`s', 'Banglori', 'satin', 'semi', 's_', 'Pink_', 'Free', 'Size),saree', 'nityanta', 'fab']",37.jpeg,saree nityanta fab,with blouse piece Saree (Nityanta FWomen`s Banglori satin semi s_ Pink_ Free Size),blouse saree banglori satin semi nityanta fab
"['silk', 'with', 'blouse', 'piece', 'Saree,saree', 'anni', 'designer']",38.jpeg,saree anni designer,silk with blouse piece Saree,silk blouse anni designer
"[""Women's"", 'Soft', 'Linen', 'Saree', '(LAX51_main_01', ';', 'Light', 'Orange),saree', 'sahajanand']",39.jpeg,saree sahajanand,Women's Soft Linen Saree (LAX51_main_01 ; Light Orange),linen saree sahajanand
"['Wedding', 'chiffon', 'saree', 'Banarasi', 'Silk', 'Style', 'light', 'weight', 'saree', 'With', 'Blouse', '(4386-2139-BA-1-GLD-RBLU),saree', 'mimosa']",40.jpeg,saree mimosa,Wedding chiffon saree Banarasi Silk Style light weight saree With Blouse (4386-2139-BA-1-GLD-RBLU),wedding chiffon saree banarasi silk weight saree blouse ba gld mimosa
"['Women', 'Saree,saree', 'nena', 'fashion']",41.jpeg,saree nena fashion,Women Saree,woman nena fashion
"[""Women'S"", 'Poly', 'Cotton', 'Dyed,', 'Plain,', 'Jari', 'Border', 'Saree', 'With', 'Blouse', 'Piece,saree', 'satrani']",42.jpeg,saree satrani,"Women'S Poly Cotton Dyed, Plain, Jari Border Saree With Blouse Piece",poly cotton jari border saree blouse satrani
"[""Women's"", 'Georgette', 'Floral', 'Printed', 'Saree,saree', 'blissta']",43.jpeg,saree blissta,Women's Georgette Floral Printed Saree,georgette floral printed blissta
"['Art', 'Silk', 'Saree', 'with', 'Blouse', 'Piece,saree', 'anni', 'designer']",44.jpeg,saree anni designer,Art Silk Saree with Blouse Piece,art silk saree blouse anni designer
"[""Women's"", 'Cotton', 'Embroidery', 'Saree', 'With', 'Blouse', 'Piece,saree', 'aika']",45.jpeg,saree aika,Women's Cotton Embroidery Saree With Blouse Piece,cotton embroidery saree blouse aika
"['Poly', 'Silk,', 'Banarasi', 'Saree', 'with', 'Un-stitched', 'Blouse', 'Piece', '-', 'Wrinklefree', 'Fabric', 'for', 'Work', 'Wear', '-', 'Powerloom', 'made', 'Traditional', 'Banarasi', 'Sari', 'for', 'Women,saree', ""pavecha's""]",46.jpeg,saree pavecha's,"Poly Silk, Banarasi Saree with Un-stitched Blouse Piece - Wrinklefree Fabric for Work Wear - Powerloom made Traditional Banarasi Sari for Women",poly banarasi saree un stitched blouse wrinklefree fabric work wear powerloom made traditional banarasi sari
"[""Women's"", 'Georgette', 'Printed', 'Saree', 'with', 'Blouse', 'Piece,saree', 'dealsure']",47.jpeg,saree dealsure,Women's Georgette Printed Saree with Blouse Piece,georgette printed saree blouse dealsure
"[""Women's"", 'Jamdani', 'Cotton', 'Saree', '(258-SDEW-89J2,', 'White,', 'Red),saree', 'generic']",48.jpeg,saree generic,"Women's Jamdani Cotton Saree (258-SDEW-89J2, White, Red)",jamdani cotton saree sdew generic
"['Handloom', 'Fabrics', ""Women's"", 'Linen', 'Slub', 'Saree', 'With', 'Contrast', 'Blouse', 'Piece,saree', 'handloom', 'fabric']",49.jpeg,saree handloom fabric,Handloom Fabrics Women's Linen Slub Saree With Contrast Blouse Piece,handloom fabric linen slub saree contrast blouse handloom fabric
"['nx', 'Wool', 'Half', 'Sleeve', 'Saree', 'Blouse', 'in', '9', 'Colors', 'Warm', 'Winter', 'Woollen', 'Sweater', 'for', 'Women,saree', 'romano']",50.jpeg,saree romano,nx Wool Half Sleeve Saree Blouse in 9 Colors Warm Winter Woollen Sweater for Women,nx wool sleeve saree blouse color winter woollen sweater
"['Silk', 'Saree', 'with', 'Blouse', 'Piece,saree', 'satrani']",51.jpeg,saree satrani,Silk Saree with Blouse Piece,silk saree blouse satrani
"[""Women's"", 'Maheshwari', 'Cotton', 'Silk', 'Saree', 'with', 'Blouse', 'Piece', '(Multicolour),saree', 'kanchan']",52.jpeg,saree kanchan,Women's Maheshwari Cotton Silk Saree with Blouse Piece (Multicolour),maheshwari cotton silk saree blouse kanchan
"[""SKiran's"", ""Women's"", 'Net', 'Saree', 'With', 'Blouse', 'Piece,', 'Unstitched', 'Mekhela', '&', 'Chador', '(5101_Multicolored),saree', 's', ""kiran's""]",53.jpeg,saree s kiran's,"SKiran's Women's Net Saree With Blouse Piece, Unstitched Mekhela & Chador (5101_Multicolored)",net saree blouse unstitched mekhela chador s
"[""Women's"", 'Pure', 'Cotton', 'Printed', 'Saree', 'with', 'Blouse', 'Piece', '(SKR5415_Brown),saree', 'rani', 'saahiba']",54.jpeg,saree rani saahiba,Women's Pure Cotton Printed Saree with Blouse Piece (SKR5415_Brown),pure cotton printed saree blouse rani saahiba
"['PURE', 'CHIFFON', 'SAREE', 'WITH', 'SHIMMER', 'BLOUS', 'PICE', '(BBC185B,', 'GREEN,FREE', 'SIZE),saree', 'pemal', 'designer']",55.jpeg,saree pemal designer,"PURE CHIFFON SAREE WITH SHIMMER BLOUS PICE (BBC185B, GREEN,FREE SIZE)",pure chiffon saree shimmer blous pice pemal designer
"['soft', 'silk', 'Gadwal', 'all', 'over', 'the', 'plain,', 'pallu', 'zari', 'work', 'Traditional', 'Saree', 'for', 'Women', 'with', 'running', 'blouse', 'piece', '(sg1411_muted', 'pink/blue),saree', 'pal', 'bastralaya']",56.jpeg,saree pal bastralaya,"soft silk Gadwal all over the plain, pallu zari work Traditional Saree for Women with running blouse piece (sg1411_muted pink/blue)",silk gadwal over pallu zari work traditional saree woman running blouse pal bastralaya
"[""Women's"", 'Khadi', 'Saree', 'with', 'Blouse', '(PINK-1133-2019-KHADI_Pink),saree', 'winza', 'designer']",57.jpeg,saree winza designer,Women's Khadi Saree with Blouse (PINK-1133-2019-KHADI_Pink),khadi saree blouse winza designer
"['Mangalagiri', 'Saree', 'with', 'Unstitched', 'Blouse', 'Piece', '-', 'Graphic', 'Design', 'in', 'Poly-Cotton', 'Fabric', 'with', 'Thick', 'Border', 'for', 'Women', '(Style_MK4894),saree', ""pavecha's""]",58.jpeg,saree pavecha's,Mangalagiri Saree with Unstitched Blouse Piece - Graphic Design in Poly-Cotton Fabric with Thick Border for Women (Style_MK4894),mangalagiri saree unstitched blouse graphic design poly cotton fabric border woman
"[""Women's"", 'Bhagalpuri', 'Linen', 'Saree', 'With', 'Blouse', 'Piece', '(CSZCP34_Parrot', 'Green,saree', 'mj', 'silks']",59.jpeg,saree mj silks,Women's Bhagalpuri Linen Saree With Blouse Piece (CSZCP34_Parrot Green,bhagalpuri linen saree blouse mj silk
"['Woven', 'Kanjivaram', 'Poly', 'Chanderi', 'Saree,saree', 'pisara']",60.jpeg,saree pisara,Woven Kanjivaram Poly Chanderi Saree,woven kanjivaram poly chanderi pisara
"[""Women's"", 'Bandhani', 'Cotton', 'Blend', 'Saree', 'With', 'Blouse', 'Piece,saree', 'sourbh']",61.jpeg,saree sourbh,Women's Bandhani Cotton Blend Saree With Blouse Piece,bandhani cotton blend saree blouse sourbh
"[""Women's"", 'Kanchipuram', 'Silk', 'Saree', 'With', 'Unstiched', 'Blouse', 'Piece', '(201-HEHT-MRN_Off-White),saree', 'mimosa']",62.jpeg,saree mimosa,Women's Kanchipuram Silk Saree With Unstiched Blouse Piece (201-HEHT-MRN_Off-White),kanchipuram silk saree unstiched blouse heht mimosa
"[""women's"", 'ethnic', 'wear', 'banarasi', 'cotton', 'silk', 'jacquard', 'saree.', '(Sonalika),saree', 'satyam', 'weaves']",63.jpeg,saree satyam weaves,women's ethnic wear banarasi cotton silk jacquard saree. (Sonalika),ethnic wear banarasi cotton silk jacquard satyam weave
"[""Women's"", 'Linen', 'Saree', 'with', 'Blouse', 'Piece', '(STB16LIN,', 'Beige),saree', 'miraan']",64.jpeg,saree miraan,"Women's Linen Saree with Blouse Piece (STB16LIN, Beige)",linen saree blouse miraan
"[""Women's"", 'Art', 'Silk', 'Saree', 'With', 'Blouse', 'Piece,saree', 'sourbh']",65.jpeg,saree sourbh,Women's Art Silk Saree With Blouse Piece,art silk saree blouse sourbh
"[""Women's"", 'Cotton', 'Silk', 'Silver', 'Jacquard', 'Banarasi', 'Saree', 'With', 'Blouse', 'Piece,saree', 'satrani']",66.jpeg,saree satrani,Women's Cotton Silk Silver Jacquard Banarasi Saree With Blouse Piece,cotton silk silver jacquard banarasi saree blouse satrani
"['Women', 'Saree,saree', 'yashika']",67.jpeg,saree yashika,Women Saree,woman yashika
"['Womens', 'Cotton', 'Silk', 'pure', 'Khan', 'saree', 'With', 'Unstitched', 'blouse', 'piece', '(coffee', 'color),saree', 'shree', 'datta', 'guru', 'saree']",68.jpeg,saree shree datta guru saree,Womens Cotton Silk pure Khan saree With Unstitched blouse piece (coffee color),woman cotton silk pure khan saree unstitched blouse shree datta guru saree
"['Women', 'Saree,saree', 'yashika']",69.jpeg,saree yashika,Women Saree,woman yashika
"['Net', 'Fabric', 'Embroidery', 'Work', 'Lace', 'border', 'with', 'stone', 'work', 'saree,saree', 'refof', 'export']",70.jpeg,saree refof export,Net Fabric Embroidery Work Lace border with stone work saree,net fabric embroidery work lace border stone work refof export
"['Lenixa', 'Enterprise', 'kanchipuram', 'silk', 'saree', 'with', 'yellow', 'blouse', '(yellow),saree', 'generic']",71.jpeg,saree generic,Lenixa Enterprise kanchipuram silk saree with yellow blouse (yellow),lenixa enterprise kanchipuram silk saree blouse generic
"[""Women's"", 'Polyester', 'Multi', 'Print', 'Premium', 'Italian', 'Silk', 'Crepe', 'for', 'Showroom', 'Saree', 'with', 'Blouse', '(Orange;', '1016_21),saree', 'uniform', 'sarees', 'corp']",72.jpeg,saree uniform sarees corp,Women's Polyester Multi Print Premium Italian Silk Crepe for Showroom Saree with Blouse (Orange; 1016_21),polyester multi print premium silk crepe showroom saree blouse uniform saree corp
"[""Women's"", 'Satin', 'Plain', 'Saree', 'with', 'Brocade', 'Blouse', 'Piece', '(Free', 'Size),saree', 'taksh']",73.jpeg,saree taksh,Women's Satin Plain Saree with Brocade Blouse Piece (Free Size),satin saree brocade blouse taksh
"[""Women's"", 'Embroidered', 'Tant', 'Tangail', 'Bengali', 'Cotton', 'Saree', 'Red', 'Green,saree', 'avik', 'creations']",74.jpeg,saree avik creations,Women's Embroidered Tant Tangail Bengali Cotton Saree Red Green,embroidered tant tangail bengali cotton saree avik creation
"['silk', 'with', 'Blouse', 'Piece', 'Saree', '(Prntd_Bhglpri03_', 'Multicolor_', '5.5', 'Meters),saree', 'svb', 'sarees']",75.jpeg,saree svb sarees,silk with Blouse Piece Saree (Prntd_Bhglpri03_ Multicolor_ 5.5 Meters),silk blouse saree svb saree
"[""Women's"", 'Banarasi', 'Soft', 'Lichi', 'Silk', 'Saree', 'With', 'Blouse', 'Piece,saree', 'drg']",76.jpeg,saree drg,Women's Banarasi Soft Lichi Silk Saree With Blouse Piece,banarasi lichi silk saree blouse drg
"['Anni', 'Designer', ""Women's"", 'Chiffon', 'Handcrafted', 'Traditional', 'Bandhani', 'Saree,saree', 'anni', 'designer']",77.jpeg,saree anni designer,Anni Designer Women's Chiffon Handcrafted Traditional Bandhani Saree,anni designer chiffon handcrafted traditional bandhani anni designer
"['Mysore', 'Silk', 'Printed', 'Sarees', 'For', 'Women', 'With', 'Blouse', 'Piece', '(In', '8', 'Colors', 'Available)(WEDDING', 'CHEKRI_Free', 'Size),saree', 'anni', 'designer']",78.jpeg,saree anni designer,Mysore Silk Printed Sarees For Women With Blouse Piece (In 8 Colors Available)(WEDDING CHEKRI_Free Size),mysore silk printed saree woman blouse color anni designer
"[""Women's"", 'Silk', 'Embroidery', 'Work', 'Saree', 'with', 'Blouse', 'Piece', '(Pal', 'Pink),saree', 'lacossi']",79.jpeg,saree lacossi,Women's Silk Embroidery Work Saree with Blouse Piece (Pal Pink),silk embroidery work saree blouse lacossi
"['Shubham', 'Fashion', ""Women's"", 'Ethnic', 'Leheriya', 'Rajasthani', 'Saree', 'with', 'Blouse', '(Striangp,', 'Pink),saree', 'generic']",80.jpeg,saree generic,"Shubham Fashion Women's Ethnic Leheriya Rajasthani Saree with Blouse (Striangp, Pink)",shubham fashion ethnic leheriya rajasthani saree blouse generic
"['Mangalagiri', 'Polycotton', 'Saree-MK4131', '(Brown),saree', ""pavecha's""]",81.jpeg,saree pavecha's,Mangalagiri Polycotton Saree-MK4131 (Brown),mangalagiri polycotton saree
"[""Women's"", 'Net', 'Sarees', 'With', 'Blouse,saree', 'avantika', 'fashion']",82.jpeg,saree avantika fashion,Women's Net Sarees With Blouse,net saree avantika fashion
"['Art', 'Silk', 'Saree', 'with', 'Blouse', 'Piece,saree', 'satrani']",83.jpeg,saree satrani,Art Silk Saree with Blouse Piece,art silk saree blouse satrani
"['Embellished,', 'Embroidered', 'Bollywood', 'Silk', 'Blend', 'Saree,saree', 'niza', 'fashion']",84.jpeg,saree niza fashion,"Embellished, Embroidered Bollywood Silk Blend Saree",embroidered bollywood silk blend niza fashion
"['Georgette', 'with', 'Blouse', 'Piece', 'Saree', '(Pack', 'of', '3)', '(Trio_1080_1107_1_1164_2_Multi_One', 'Size),saree', 'kashvi', 'sarees']",85.jpeg,saree kashvi sarees,Georgette with Blouse Piece Saree (Pack of 3) (Trio_1080_1107_1_1164_2_Multi_One Size),georgette blouse saree kashvi saree
"[""Women's"", 'Saree', 'Shapewear', 'with', 'Drawstring,saree', 'clovia']",86.jpeg,saree clovia,Women's Saree Shapewear with Drawstring,saree shapewear clovia
"['Women', 'Saree,saree', 'anni', 'designer']",87.jpeg,saree anni designer,Women Saree,woman anni designer
"['Soft', 'Cotton', '&', 'Silk', 'Saree', 'For', 'Women', 'Half', 'Sarees', 'Under', '299', '2020', 'Beautiful', 'For', 'Women', 'saree', 'free', 'size', 'with', 'blouse', 'piece,saree', 'nirmla', 'fashion']",88.jpeg,saree nirmla fashion,Soft Cotton & Silk Saree For Women Half Sarees Under 299 2020 Beautiful For Women saree free size with blouse piece,cotton silk saree woman saree under beautiful woman saree blouse nirmla fashion
"[""Women's"", 'Georgette', 'Printed', 'Woven', 'Saree', 'with', 'Blouse', 'Piece', '(Light', 'Pink),saree', 'parishkaar', 'tex']",89.jpeg,saree parishkaar tex,Women's Georgette Printed Woven Saree with Blouse Piece (Light Pink),georgette printed woven saree blouse parishkaar tex
"['Printed', 'Art', 'Silk', 'Saree,saree', 'runaya', 'nx']",90.jpeg,saree runaya nx,Printed Art Silk Saree,printed art silk runaya nx
"[""Women's"", 'Cotton', 'Silk', 'Saree', 'with', 'Unstitched', 'Blouse', 'Piece', '(Lichi),saree', 'perfectblue']",91.jpeg,saree perfectblue,Women's Cotton Silk Saree with Unstitched Blouse Piece (Lichi),cotton silk saree unstitched blouse perfectblue
"['Mahi', 'E-Commerce', ""Women's"", 'Pitch', 'Color', 'Georgette', 'Stone', 'Work', 'Saree', 'With', 'Blouse,saree', 'generic']",92.jpeg,saree generic,Mahi E-Commerce Women's Pitch Color Georgette Stone Work Saree With Blouse,mahi e commerce pitch color georgette stone work saree generic
"['Women', 'Saree,saree', 'gosriki']",93.jpeg,saree gosriki,Women Saree,woman gosriki
"[""Women's"", 'Banarasi', 'Silk', 'Blend', 'Saree', 'With', 'Blouse', 'Piece,saree', 'sugathari']",94.jpeg,saree sugathari,Women's Banarasi Silk Blend Saree With Blouse Piece,banarasi silk blend saree blouse sugathari
"[""Women's"", 'Sambalpuri', 'Handloom', 'Cotton', 'Saree', 'Odisha', 'with', 'blouse*,saree', 'bhs']",95.jpeg,saree bhs,Women's Sambalpuri Handloom Cotton Saree Odisha with blouse*,sambalpuri handloom cotton saree odisha bh
"[""Women's"", 'Assamese', 'Weaving', 'Art', 'Khadi', 'Silk', 'Mekhela', 'Chador', 'Saree', '(Cream', 'and', 'Multicolor),saree', 's', ""kiran's""]",96.jpeg,saree s kiran's,Women's Assamese Weaving Art Khadi Silk Mekhela Chador Saree (Cream and Multicolor),assamese weaving art khadi silk mekhela chador saree s
"[""Women's"", 'Purple', 'Color', 'Cotton', 'Silk', 'with', 'Blouse', 'Piece', 'Saree', '(RC-MONIKA_', '1129-P_Free', 'Size),saree', 'anni', 'designer']",97.jpeg,saree anni designer,Women's Purple Color Cotton Silk with Blouse Piece Saree (RC-MONIKA_ 1129-P_Free Size),purple color cotton silk blouse saree anni designer
"[""Women's"", 'Art', 'Silk', 'Saree', 'With', 'Blouse', 'Piece,saree', 'unico', 'tex']",98.jpeg,saree unico tex,Women's Art Silk Saree With Blouse Piece,art silk saree blouse unico tex
"[""Women's"", 'Pure', 'Cotton', 'Printed', 'Saree', 'Without', 'Blouse(YELLOW),saree', 'gosriki']",99.jpeg,saree gosriki,Women's Pure Cotton Printed Saree Without Blouse(YELLOW),pure cotton printed saree without gosriki
"[""Women's"", 'Hand', 'Block', 'Kalamkari', 'Bagru', 'Jaipuri', 'Ikat', 'Pure', 'Handloom', 'Cotton', 'Mulmul', 'Traditional', 'Ethnic', 'Cotton', 'Sarees', 'With', 'Pompom', 'Tassels', 'Printed', 'Blouse', 'Piece', '(Red,White,Multicolored),saree', 'sanganeri', 'block', 'print']",100.jpeg,saree sanganeri block print,"Women's Hand Block Kalamkari Bagru Jaipuri Ikat Pure Handloom Cotton Mulmul Traditional Ethnic Cotton Sarees With Pompom Tassels Printed Blouse Piece (Red,White,Multicolored)",hand block kalamkari bagru jaipuri ikat pure handloom cotton mulmul traditional ethnic cotton saree pompom tassel printed blouse sanganeri block print
"['Arriva', 'Fab', 'georgette', 'with', 'Blouse', 'Piece', 'Saree,saree', 'arriva', 'fab']",101.jpeg,saree arriva fab,Arriva Fab georgette with Blouse Piece Saree,arriva fab georgette blouse arriva fab
"[""Women's"", 'Kanchipuram', 'Net', 'Saree', 'With', 'Blouse', 'Piece', '(SUNS2728_1_New_Sky', 'Blue)', '(Sky', 'Blue)', '(Sky', 'blue)', '(Sky', 'blue)', '(Sky', 'blue)', '(Sky', 'blue),saree', 'i-brand']",102.jpeg,saree i-brand,Women's Kanchipuram Net Saree With Blouse Piece (SUNS2728_1_New_Sky Blue) (Sky Blue) (Sky blue) (Sky blue) (Sky blue) (Sky blue),kanchipuram net saree blouse i brand
"[""Women's"", 'Jacquard', 'Polyester', 'Saree', 'With', 'Unstitched', 'Blouse', 'Piece,saree', 'madhusri', 'belguan', 'slik', 'sarees']",103.jpeg,saree madhusri belguan slik sarees,Women's Jacquard Polyester Saree With Unstitched Blouse Piece,jacquard polyester saree unstitched blouse madhusri belguan slik saree
"['georgette', 'Saree,saree', 'anni', 'designer']",104.jpeg,saree anni designer,georgette Saree,georgette anni designer
"['Striped,', 'Woven', 'Handloom', 'Cotton', 'Blend,', 'Poly', 'Silk', 'Saree,saree', 'saara']",105.jpeg,saree saara,"Striped, Woven Handloom Cotton Blend, Poly Silk Saree",woven handloom cotton poly silk saara
"['Full', 'Uppada', 'Cotton', 'by', 'Tissue', 'Silver', 'Saree,saree', 'generic']",106.jpeg,saree generic,Full Uppada Cotton by Tissue Silver Saree,full uppada cotton by tissue silver generic
"['Pure', 'Cotton', 'Venkatagiri', 'Saree', '(Solid', 'Print),', 'with', 'Un-stitched', 'Blouse', 'Piece', '-', 'Pure', 'Cotton', 'Fabric', 'with', 'Zari', 'Border', 'for', 'Casual', 'Wear', '(Style_MK4813),saree', ""pavecha's""]",107.jpeg,saree pavecha's,"Pure Cotton Venkatagiri Saree (Solid Print), with Un-stitched Blouse Piece - Pure Cotton Fabric with Zari Border for Casual Wear (Style_MK4813)",pure cotton venkatagiri saree un stitched blouse pure cotton fabric zari border casual wear
"[""Women's"", 'Multi', 'Color', 'Art', 'Silk', 'Saree', 'With', 'Blouse', 'Piece', 'Pack', 'of', '3', '(AGMANCH', 'COMBO', 'THREE_3_Free', 'Size),saree', 'anni', 'designer']",108.jpeg,saree anni designer,Women's Multi Color Art Silk Saree With Blouse Piece Pack of 3 (AGMANCH COMBO THREE_3_Free Size),multi color art silk saree blouse pack combo anni designer
"[""Women's"", 'Jute', 'Silk', 'Saree', 'With', 'Blouse', '(SNAIL),saree', 'winza', 'designer']",109.jpeg,saree winza designer,Women's Jute Silk Saree With Blouse (SNAIL),jute silk saree blouse winza designer
"[""Women's"", 'Creta', 'Malai', 'Saree', 'With', 'Blouse', 'Piece,saree', 'naitri', 'creation']",110.jpeg,saree naitri creation,Women's Creta Malai Saree With Blouse Piece,creta malai saree blouse naitri creation
"[""Women's"", 'georgette', 'with', 'blouse', 'piece', 'Kurta', '(Kurtas321_', 'Rani_', '6', 'Meter),saree', 'kuber', 'industries']",111.jpeg,saree kuber industries,Women's georgette with blouse piece Kurta (Kurtas321_ Rani_ 6 Meter),georgette blouse kurta kuber industry
"['New', 'Premium', 'Banarasi', 'Woven', 'Art', 'Silk', 'Saree', 'For', 'Women', 'And', 'Girls(PARI-20).,saree', 'klara']",112.jpeg,saree klara,New Premium Banarasi Woven Art Silk Saree For Women And Girls(PARI-20).,premium banarasi woven art silk saree woman klara
"['Readymade', 'Girls', 'Silk', 'Bengali', 'White', 'Saree', 'with', 'Red', 'Border,saree', 'savi', '&', 'dev']",113.jpeg,saree savi & dev,Readymade Girls Silk Bengali White Saree with Red Border,readymade girl silk bengali saree savi dev
"['Embroidered', 'Fashion', 'Poly', 'Georgette', 'Saree,saree', 'fabpandora']",114.jpeg,saree fabpandora,Embroidered Fashion Poly Georgette Saree,embroidered fashion poly georgette fabpandora
"[""Women's"", 'Linen', 'Saree', 'With', 'Blouse', 'Piece', '(LinenMVRVariation1),saree', 'perfectblue']",115.jpeg,saree perfectblue,Women's Linen Saree With Blouse Piece (LinenMVRVariation1),linen saree blouse perfectblue
"['ABHI', 'D', 'DESIGN', ""woman's"", 'brasso', 'net', 'jacquard', 'moti', 'work', 'saree', 'with', 'blouse,saree', 'add']",116.jpeg,saree add,ABHI D DESIGN woman's brasso net jacquard moti work saree with blouse,abhi d design brasso net jacquard moti work saree add
"[""Women's"", 'Olive', 'Green', 'Poly', 'Crepe', 'Crop', 'Top', 'And', 'Dhoti', 'With', 'Attached', 'Dupatta,saree', 'janasya']",117.jpeg,saree janasya,Women's Olive Green Poly Crepe Crop Top And Dhoti With Attached Dupatta,poly crepe crop top dhoti attached janasya
"['Handloom', 'Fabrics', ""Women's"", 'Attractive', 'TUSSAR', 'MUNGA', 'SILK', 'SAREE', 'Running', 'BLOUSE', 'Piece,saree', 'handloom', 'fabric']",118.jpeg,saree handloom fabric,Handloom Fabrics Women's Attractive TUSSAR MUNGA SILK SAREE Running BLOUSE Piece,handloom fabric attractive tussar munga silk saree running blouse handloom fabric
"['Soft', 'silk', 'Saree', 'with', 'Running', 'Blouse,saree', 'pandadi', 'saree']",119.jpeg,saree pandadi saree,Soft silk Saree with Running Blouse,silk saree running pandadi saree
"[""Women's"", 'Cotton', 'Silk', 'Saree', 'with', 'Blouse', 'Piece,saree', 'luxowear']",120.jpeg,saree luxowear,Women's Cotton Silk Saree with Blouse Piece,cotton silk saree blouse luxowear
"[""Women's"", 'Handloom', 'Checkered', 'Cotton', 'Saree', 'with', 'Running', 'Blouse', 'Piece,saree', 'exonic']",121.jpeg,saree exonic,Women's Handloom Checkered Cotton Saree with Running Blouse Piece,handloom checkered cotton saree running blouse exonic
"[""Women's"", 'Kanchipuram', 'Pattu', 'Sarees', 'With', 'Blouse', 'Piece', '(D51_green_red),saree', 'c', 'j', 'enterprise']",122.jpeg,saree c j enterprise,Women's Kanchipuram Pattu Sarees With Blouse Piece (D51_green_red),kanchipuram pattu saree blouse j enterprise
"[""Women's"", 'banglori', 'malai', 'ruffle', 'Sarees', 'With', 'Blouse,saree', 'buyzone']",123.jpeg,saree buyzone,Women's banglori malai ruffle Sarees With Blouse,banglori malai ruffle saree buyzone
"[""Women's"", 'Stitched', 'Readymade', 'Tissue', 'blouse', 'with', 'beads,', 'Golden', 'color,saree', 'jisb']",124.jpeg,saree jisb,"Women's Stitched Readymade Tissue blouse with beads, Golden color",stitched readymade tissue blouse golden jisb
"['Saree', 'With', 'Blouse', 'Piece,saree', 'arkee', 'designer']",125.jpeg,saree arkee designer,Saree With Blouse Piece,saree blouse arkee designer
"['Women', 'Kanjivaram', 'Soft', 'Silk', 'Saree', 'With', 'Blouse', 'Piece', '(Purple),saree', 'sgf11']",126.jpeg,saree sgf11,Women Kanjivaram Soft Silk Saree With Blouse Piece (Purple),woman kanjivaram silk saree blouse
"[""Women's"", 'Woven', 'Kanjivaram', 'Cotton', 'Blend', 'Saree', 'with', 'Blouse', 'Piece', '(Dark', 'Green),saree', 'jaam', 'silk', 'fashion']",127.jpeg,saree jaam silk fashion,Women's Woven Kanjivaram Cotton Blend Saree with Blouse Piece (Dark Green),woven kanjivaram cotton blend saree blouse jaam silk fashion
"[""Women's"", 'Chinon', 'Silk', 'Heavy', 'Jari', 'Embroidery', 'Work', 'Saree', '(Riva', '229,', 'Sky', 'Blue),saree', 'reeva', 'trendz']",128.jpeg,saree reeva trendz,"Women's Chinon Silk Heavy Jari Embroidery Work Saree (Riva 229, Sky Blue)",chinon silk jari embroidery work saree sky reeva trendz
"[""Women's"", 'Banarasi', 'Art', 'Silk', 'Saree', 'With', 'Blouse', 'Piece,saree', 'vardha']",129.jpeg,saree vardha,Women's Banarasi Art Silk Saree With Blouse Piece,banarasi art silk saree blouse vardha
"['Womens', 'Sarees', 'Heavy', 'Organza', 'Silk', 'With', 'Digital', 'Print', 'With', 'Heavy', 'Embrodery', 'Work', 'Benglory', 'Satin', 'Silk', 'Blouse,saree', 'royal', 'style']",130.jpeg,saree royal style,Womens Sarees Heavy Organza Silk With Digital Print With Heavy Embrodery Work Benglory Satin Silk Blouse,woman saree organza silk digital print embrodery work benglory satin silk royal
"[""Women's"", 'Banarasi', 'Silk', 'Sadi', 'with', 'Unstitched', 'Blouse', 'Piece', '(AURA', 'GOLDEN', 'BORDER', 'RED_Red),saree', 'xaya']",131.jpeg,saree xaya,Women's Banarasi Silk Sadi with Unstitched Blouse Piece (AURA GOLDEN BORDER RED_Red),banarasi silk sadi unstitched blouse golden border xaya
"[""Women's"", 'Banarasi', 'Satin', 'Saree', 'With', 'Blouse', 'Piece,saree', 'vivanfab']",132.jpeg,saree vivanfab,Women's Banarasi Satin Saree With Blouse Piece,banarasi satin saree blouse vivanfab
"[""Women's"", 'Cotton', 'Saree', 'without', 'Blouse', 'Piece', '(AFWC-001_Red),saree', 'generic']",133.jpeg,saree generic,Women's Cotton Saree without Blouse Piece (AFWC-001_Red),cotton saree without blouse generic
