ingredients,recipe_urls,recipe_name,desc,ingredients_parsed
"['Readymade', 'Stretchable', 'Blouse', 'for', 'Women', 'Cotton', 'Lycra', 'Red', 'Color', 'Navy', 'Blue', '28', 'to', '36', 'Size,blouse', 'bolly', 'lounge']",602.jpeg,blouse bolly lounge,Readymade Stretchable Blouse for Women Cotton Lycra Red Color Navy Blue 28 to 36 Size,readymade stretchable blouse woman cotton lycra color navy blue bolly lounge
"[""Women's"", 'Plain', 'Stretchable', 'Stitched', 'Readymade', 'Blouse', '(CDPL-GO-208,', 'Blue,', 'Free', 'Size),blouse', 'cdpl', 'express']",603.jpeg,blouse cdpl express,"Women's Plain Stretchable Stitched Readymade Blouse (CDPL-GO-208, Blue, Free Size)",stretchable stitched readymade blouse go cdpl express
"[""Women's"", 'Multicolor', 'Neckless', 'Neck', 'Handwork', 'Flower', 'Embroidery', 'Sequance', 'Zari', 'Work', 'Phanto', 'Silk', 'Readymade', 'Blouse', 'For', 'Saree', 'and', 'Lehenga', 'Choli', '(Purple),blouse', 'mesmore']",604.jpeg,blouse mesmore,Women's Multicolor Neckless Neck Handwork Flower Embroidery Sequance Zari Work Phanto Silk Readymade Blouse For Saree and Lehenga Choli (Purple),multicolor neckless neck handwork flower embroidery sequance zari work phanto silk readymade blouse saree lehenga choli mesmore
"['ENTERPRISE', ""Women's"", 'Net', '&', 'Tapeta', 'Blouse,blouse', 'assure']",605.jpeg,blouse assure,ENTERPRISE Women's Net & Tapeta Blouse,enterprise net tapeta assure
"[""Women's"", 'Denim', 'Sleeve', 'Saree', 'Blouse', 'with', 'Round', 'Neck,blouse', 'dresser']",606.jpeg,blouse dresser,Women's Denim Sleeve Saree Blouse with Round Neck,denim sleeve saree blouse dresser
"['Boat', 'Neck', 'Ikkat', 'and', 'Kalamkari', 'Green', 'Blouse', 'with', 'Short', 'Sleeves,blouse', 'master', 'weaver']",607.jpeg,blouse master weaver,Boat Neck Ikkat and Kalamkari Green Blouse with Short Sleeves,boat neck ikkat kalamkari blouse short master weaver
"['Premium', ""Women's"", 'Cotton', 'Lycra', 'Stretchable', 'Readymade', 'Plain', '3/4', 'Sleeve', 'Saree', 'Blouse(Combo', 'of', '4)(FP3-8-73-79),blouse', 'jelite']",608.jpeg,blouse jelite,Premium Women's Cotton Lycra Stretchable Readymade Plain 3/4 Sleeve Saree Blouse(Combo of 4)(FP3-8-73-79),premium cotton lycra stretchable readymade sleeve saree jelite
"['Stretchable', ""Girl's"", '&', ""Women's"", 'Cotton', 'Lycra', 'Readymade', 'Lace', 'Net', 'Blouse(Free', 'Size', ':', 'Color', ':Maroon-18),blouse', 'shreejiih']",609.jpeg,blouse shreejiih,Stretchable Girl's & Women's Cotton Lycra Readymade Lace Net Blouse(Free Size : Color :Maroon-18),stretchable cotton lycra readymade lace net color shreejiih
"['Sequin', 'Silver', 'Blouse,blouse', 'generic']",610.jpeg,blouse generic,Sequin Silver Blouse,sequin silver generic
"['Silk', 'Embroidery', 'Heavy', 'Work', 'Stitched', 'Blouse', 'For', 'Woman,blouse', 'great', 'woman']",611.jpeg,blouse great woman,Silk Embroidery Heavy Work Stitched Blouse For Woman,silk embroidery work stitched blouse great woman
